property;value;
forearmLeft;0.254661;
upperarmLeft;0.250561;
shoulderHalfLeft;0.173932;
neck;0.0791974;
shoulderHalfRight;0.195863;
upperarmRight;0.277437;
forearmRight;0.216718;
shoulder;0.342918;
upperBody;0.246615;
hip;0.152434;
lowerBody;0.343983;
body;0.59056;
lowerLegLeft;0.280814;
upperLegLeft;0.421054;
upperLegRight;0.38633;
lowerLegRight;0.364611;
forearmLeft;0.253108;
upperarmLeft;0.250585;
shoulderHalfLeft;0.173839;
neck;0.079208;
shoulderHalfRight;0.195828;
upperarmRight;0.27831;
forearmRight;0.215368;
shoulder;0.342817;
upperBody;0.246639;
hip;0.152458;
lowerBody;0.344013;
body;0.590614;
lowerLegLeft;0.280812;
upperLegLeft;0.420957;
upperLegRight;0.386259;
lowerLegRight;0.36461;
forearmLeft;0.254736;
upperarmLeft;0.250748;
shoulderHalfLeft;0.174289;
neck;0.0792162;
shoulderHalfRight;0.195823;
upperarmRight;0.261044;
forearmRight;0.233937;
shoulder;0.343502;
upperBody;0.246659;
hip;0.152446;
lowerBody;0.343995;
body;0.590616;
lowerLegLeft;0.280941;
upperLegLeft;0.420755;
upperLegRight;0.386229;
lowerLegRight;0.364618;
forearmLeft;0.255377;
upperarmLeft;0.250647;
shoulderHalfLeft;0.174236;
neck;0.079224;
shoulderHalfRight;0.195869;
upperarmRight;0.272882;
forearmRight;0.22024;
shoulder;0.343386;
upperBody;0.246682;
hip;0.152436;
lowerBody;0.343989;
body;0.590633;
lowerLegLeft;0.280988;
upperLegLeft;0.420668;
upperLegRight;0.386204;
lowerLegRight;0.364688;
forearmLeft;0.256254;
upperarmLeft;0.250479;
shoulderHalfLeft;0.174046;
neck;0.0792315;
shoulderHalfRight;0.195848;
upperarmRight;0.2754;
forearmRight;0.217559;
shoulder;0.343146;
upperBody;0.246704;
hip;0.15244;
lowerBody;0.34397;
body;0.590636;
lowerLegLeft;0.281146;
upperLegLeft;0.420269;
upperLegRight;0.386246;
lowerLegRight;0.364127;
forearmLeft;0.256511;
upperarmLeft;0.250537;
shoulderHalfLeft;0.173918;
neck;0.079235;
shoulderHalfRight;0.195918;
upperarmRight;0.277034;
forearmRight;0.215706;
shoulder;0.343023;
upperBody;0.246718;
hip;0.152457;
lowerBody;0.343992;
body;0.590672;
lowerLegLeft;0.280595;
upperLegLeft;0.420738;
upperLegRight;0.38623;
lowerLegRight;0.364293;
forearmLeft;0.256946;
upperarmLeft;0.250266;
shoulderHalfLeft;0.173867;
